RowSection,RowNumber,SeatType,Side,SurvivalRate
Front,1,Window,Left,62
Front,2,Window,Left,62
Front,3,Window,Left,62
Front,4,Window,Left,62
Front,5,Window,Left,62
Front,6,Window,Left,62
Front,7,Window,Left,62
Front,8,Window,Left,62
Front,9,Window,Left,62
Front,10,Window,Left,62
Front,1,Middle,Left,62
Front,2,Middle,Left,62
Front,3,Middle,Left,62
Front,4,Middle,Left,62
Front,5,Middle,Left,62
Front,6,Middle,Left,62
Front,7,Middle,Left,62
Front,8,Middle,Left,62
Front,9,Middle,Left,62
Front,10,Middle,Left,62
Front,1,Aisle,Left,62
Front,2,Aisle,Left,62
Front,3,Aisle,Left,62
Front,4,Aisle,Left,62
Front,5,Aisle,Left,62
Front,6,Aisle,Left,62
Front,7,Aisle,Left,62
Front,8,Aisle,Left,62
Front,9,Aisle,Left,62
Front,10,Aisle,Left,62
Front,1,Aisle,Right,62
Front,2,Aisle,Right,62
Front,3,Aisle,Right,62
Front,4,Aisle,Right,62
Front,5,Aisle,Right,62
Front,6,Aisle,Right,62
Front,7,Aisle,Right,62
Front,8,Aisle,Right,62
Front,9,Aisle,Right,62
Front,10,Aisle,Right,62
Front,1,Middle,Right,62
Front,2,Middle,Right,62
Front,3,Middle,Right,62
Front,4,Middle,Right,62
Front,5,Middle,Right,62
Front,6,Middle,Right,62
Front,7,Middle,Right,62
Front,8,Middle,Right,62
Front,9,Middle,Right,62
Front,10,Middle,Right,62
Front,1,Window,Right,62
Front,2,Window,Right,62
Front,3,Window,Right,62
Front,4,Window,Right,62
Front,5,Window,Right,62
Front,6,Window,Right,62
Front,7,Window,Right,62
Front,8,Window,Right,62
Front,9,Window,Right,62
Front,10,Window,Right,62
Middle,1,Window,Left,61
Middle,2,Window,Left,61
Middle,3,Window,Left,61
Middle,4,Window,Left,61
Middle,5,Window,Left,61
Middle,6,Window,Left,61
Middle,7,Window,Left,61
Middle,8,Window,Left,61
Middle,9,Window,Left,61
Middle,10,Window,Left,61
Middle,1,Middle,Left,61
Middle,2,Middle,Left,61
Middle,3,Middle,Left,61
Middle,4,Middle,Left,61
Middle,5,Middle,Left,61
Middle,6,Middle,Left,61
Middle,7,Middle,Left,61
Middle,8,Middle,Left,61
Middle,9,Middle,Left,61
Middle,10,Middle,Left,61
Middle,1,Aisle,Left,56
Middle,2,Aisle,Left,56
Middle,3,Aisle,Left,56
Middle,4,Aisle,Left,56
Middle,5,Aisle,Left,56
Middle,6,Aisle,Left,56
Middle,7,Aisle,Left,56
Middle,8,Aisle,Left,56
Middle,9,Aisle,Left,56
Middle,10,Aisle,Left,56
Middle,1,Aisle,Right,56
Middle,2,Aisle,Right,56
Middle,3,Aisle,Right,56
Middle,4,Aisle,Right,56
Middle,5,Aisle,Right,56
Middle,6,Aisle,Right,56
Middle,7,Aisle,Right,56
Middle,8,Aisle,Right,56
Middle,9,Aisle,Right,56
Middle,10,Aisle,Right,56
Middle,1,Middle,Right,61
Middle,2,Middle,Right,61
Middle,3,Middle,Right,61
Middle,4,Middle,Right,61
Middle,5,Middle,Right,61
Middle,6,Middle,Right,61
Middle,7,Middle,Right,61
Middle,8,Middle,Right,61
Middle,9,Middle,Right,61
Middle,10,Middle,Right,61
Middle,1,Window,Right,61
Middle,2,Window,Right,61
Middle,3,Window,Right,61
Middle,4,Window,Right,61
Middle,5,Window,Right,61
Middle,6,Window,Right,61
Middle,7,Window,Right,61
Middle,8,Window,Right,61
Middle,9,Window,Right,61
Middle,10,Window,Right,61
Back,1,Window,Left,68
Back,2,Window,Left,68
Back,3,Window,Left,68
Back,4,Window,Left,68
Back,5,Window,Left,68
Back,6,Window,Left,68
Back,7,Window,Left,68
Back,8,Window,Left,68
Back,9,Window,Left,68
Back,10,Window,Left,68
Back,1,Middle,Left,72
Back,2,Middle,Left,72
Back,3,Middle,Left,72
Back,4,Middle,Left,72
Back,5,Middle,Left,72
Back,6,Middle,Left,72
Back,7,Middle,Left,72
Back,8,Middle,Left,72
Back,9,Middle,Left,72
Back,10,Middle,Left,72
Back,1,Aisle,Left,68
Back,2,Aisle,Left,68
Back,3,Aisle,Left,68
Back,4,Aisle,Left,68
Back,5,Aisle,Left,68
Back,6,Aisle,Left,68
Back,7,Aisle,Left,68
Back,8,Aisle,Left,68
Back,9,Aisle,Left,68
Back,10,Aisle,Left,68
Back,1,Aisle,Right,68
Back,2,Aisle,Right,68
Back,3,Aisle,Right,68
Back,4,Aisle,Right,68
Back,5,Aisle,Right,68
Back,6,Aisle,Right,68
Back,7,Aisle,Right,68
Back,8,Aisle,Right,68
Back,9,Aisle,Right,68
Back,10,Aisle,Right,68
Back,1,Middle,Right,72
Back,2,Middle,Right,72
Back,3,Middle,Right,72
Back,4,Middle,Right,72
Back,5,Middle,Right,72
Back,6,Middle,Right,72
Back,7,Middle,Right,72
Back,8,Middle,Right,72
Back,9,Middle,Right,72
Back,10,Middle,Right,72
Back,1,Window,Right,68
Back,2,Window,Right,68
Back,3,Window,Right,68
Back,4,Window,Right,68
Back,5,Window,Right,68
Back,6,Window,Right,68
Back,7,Window,Right,68
Back,8,Window,Right,68
Back,9,Window,Right,68
Back,10,Window,Right,68